seen;296;0.0466085
wife;296;0.0466085
est;296;0.0466085
dear;294;0.0462936
part;291;0.0458212
Petya;290;0.0456638
et;290;0.0456638
give;286;0.0450339
make;286;0.0450339
enemy;283;0.0445615
too;283;0.0445615
le;283;0.0445615
saying;282;0.0444041
movement;281;0.0442466
towards;281;0.0442466
should;280;0.0440891
things;278;0.0437742
why;277;0.0436168
let;277;0.0436168
ran;275;0.0433018
hands;273;0.0429869
side;273;0.0429869
que;271;0.042672
three;271;0.042672
though;269;0.0423571
At;269;0.0423571
became;268;0.0421996
alone;268;0.0421996
letter;267;0.0420421
between;267;0.0420421
rode;266;0.0418847
leave;265;0.0417272
Russia;263;0.0414123
chief;263;0.0414123
against;263;0.0414123
gave;263;0.0414123
while;262;0.0412548
cried;261;0.0410974
Vassily;261;0.0410974
brought;261;0.0410974
called;258;0.040625
As;256;0.0403101
quickly;256;0.0403101
sitting;255;0.0401526
His;252;0.0396802
every;251;0.0395228
sent;251;0.0395228
position;251;0.0395228
mother;250;0.0393653
power;248;0.0390504
To;248;0.0390504
Your;248;0.0390504
Why;247;0.0388929
next;246;0.0387355
regiment;246;0.0387355
road;245;0.038578
question;245;0.038578
everyone;244;0.0384205
conversation;244;0.0384205
found;244;0.0384205
soldier;243;0.0382631
great;242;0.0381056
both;242;0.0381056
Anatole;240;0.0377907
night;240;0.0377907
How;239;0.0376332
Alexander;237;0.0373183
many;237;0.0373183
adjutant;237;0.0373183
during;236;0.0371608
taking;236;0.0371608
We;236;0.0371608
orders;233;0.0366885
horses;233;0.0366885
impossible;232;0.036531
fire;231;0.0363735
friend;231;0.0363735
especially;230;0.0362161
done;230;0.0362161
am;229;0.0360586
along;228;0.0359012
coming;228;0.0359012
others;228;0.0359012
wounded;227;0.0357437
officers;227;0.0357437
known;224;0.0352713
table;223;0.0351139
One;222;0.0349564
fell;220;0.0346415
soon;219;0.034484
standing;219;0.034484
So;218;0.0343265
crowd;218;0.0343265
among;218;0.0343265
soul;218;0.0343265
since;218;0.0343265
word;216;0.0340116
replied;214;0.0336967
heart;214;0.0336967
themselves;213;0.0335392
evening;211;0.0332243
morning;211;0.0332243
All;211;0.0332243
arm;210;0.0330669
understood;210;0.0330669
several;210;0.0330669
smiling;209;0.0329094
woman;208;0.0327519
talking;208;0.0327519
won;207;0.0325945
later;207;0.0325945
brother;206;0.032437
lay;206;0.032437
death;205;0.0322796
ask;205;0.0322796
past;205;0.0322796
set;204;0.0321221
Rostovs;204;0.0321221
world;202;0.0318072
waiting;201;0.0316497
end;199;0.0313348
together;199;0.0313348
speak;199;0.0313348
shouted;198;0.0311773
far;198;0.0311773
white;197;0.0310199
Bolkonsky;195;0.0307049
find;195;0.0307049
silent;194;0.0305475
drawing;194;0.0305475
given;193;0.03039
action;193;0.03039
year;191;0.0300751
yet;191;0.0300751
les;191;0.0300751
H;190;0.0299176
obviously;188;0.0296027
thinking;187;0.0294452
Bagration;187;0.0294452
received;186;0.0292878
happy;186;0.0292878
longer;185;0.0291303
happened;185;0.0291303
e;184;0.0289729
need;184;0.0289729
military;183;0.0288154
moved;183;0.0288154
campaign;182;0.0286579
quite;181;0.0285005
dinner;181;0.0285005
small;181;0.0285005
person;181;0.0285005
faces;180;0.028343
does;180;0.028343
itself;179;0.0281856
second;178;0.0280281
state;178;0.0280281
clearly;177;0.0278706
234;177;0.0278706
spoke;177;0.0278706
afraid;176;0.0277132
days;174;0.0273983
clear;174;0.0273983
After;173;0.0272408
Pavlovna;172;0.0270833
daughter;172;0.0270833
red;172;0.0270833
terrible;172;0.0270833
times;172;0.0270833
home;171;0.0269259
thousand;171;0.0269259
news;169;0.0266109
turning;169;0.0266109
might;169;0.0266109
force;169;0.0266109
kept;169;0.0266109
therefore;169;0.0266109
family;168;0.0264535
name;168;0.0264535
smiled;168;0.0264535
possible;168;0.0264535
husband;168;0.0264535
Having;167;0.026296
sort;166;0.0261386
help;166;0.0261386
Russians;166;0.0261386
repeated;165;0.0259811
je;165;0.0259811
light;165;0.0259811
women;165;0.0259811
whether;164;0.0258236
ahead;164;0.0258236
sides;163;0.0256662
almost;162;0.0255087
upon;162;0.0255087
someone;162;0.0255087
added;160;0.0251938
For;159;0.0250363
tears;159;0.0250363
happiness;159;0.0250363
noticed;159;0.0250363
Borodino;158;0.0248789
freedom;158;0.0248789
gone;157;0.0247214
bad;157;0.0247214
n;157;0.0247214
twenty;156;0.024564
cannot;156;0.024564
arms;156;0.024564
pas;156;0.024564
big;156;0.024564
tried;156;0.024564
high;155;0.0244065
trying;155;0.0244065
walked;155;0.0244065
half;154;0.024249
Tolstoy;154;0.024249
reason;154;0.024249
glanced;154;0.024249
Alpatych;154;0.024249
myself;153;0.0240916
history;153;0.0240916
fact;153;0.0240916
necessary;153;0.0240916
il;153;0.0240916
From;152;0.0239341
close;152;0.0239341
mon;152;0.0239341
else;152;0.0239341
used;152;0.0239341
My;152;0.0239341
third;151;0.0237766
Rastopchin;151;0.0237766
yes;150;0.0236192
few;150;0.0236192
gaze;150;0.0236192
ordered;150;0.0236192
doctor;149;0.0234617
historical;149;0.0234617
fear;149;0.0234617
boy;149;0.0234617
years;149;0.0234617
village;148;0.0233043
un;148;0.0233043
Mikhailovna;147;0.0231468
getting;147;0.0231468
started;147;0.0231468
better;147;0.0231468
frightened;147;0.0231468
thoughts;147;0.0231468
peace;146;0.0229893
certain;146;0.0229893
doing;146;0.0229893
service;146;0.0229893
anyone;146;0.0229893
holding;145;0.0228319
moving;145;0.0228319
read;145;0.0228319
decided;144;0.0226744
former;144;0.0226744
cold;143;0.022517
work;143;0.022517
less;143;0.022517
ever;143;0.022517
children;143;0.022517
running;142;0.0223595
strange;142;0.0223595
led;141;0.022202
beautiful;141;0.022202
become;141;0.022202
bridge;141;0.022202
human;141;0.022202
glad;141;0.022202
cause;140;0.0220446
staff;140;0.0220446
listened;140;0.0220446
black;139;0.0218871
attention;139;0.0218871
Mlle;139;0.0218871
hundred;139;0.0218871
girl;139;0.0218871
meaning;138;0.0217296
ce;138;0.0217296
Bourienne;138;0.0217296
society;138;0.0217296
study;138;0.0217296
hair;138;0.0217296
voices;138;0.0217296
wish;138;0.0217296
lost;138;0.0217296
forces;137;0.0215722
says;137;0.0215722
company;136;0.0214147
raised;136;0.0214147
feet;136;0.0214147
1812;136;0.0214147
wrote;135;0.0212573
asking;135;0.0212573
events;135;0.0212573
loved;134;0.0210998
may;134;0.0210998
event;134;0.0210998
didn;134;0.0210998
mind;134;0.0210998
activity;133;0.0209423
opened;133;0.0209423
live;133;0.0209423
line;132;0.0207849
above;132;0.0207849
appeared;131;0.0206274
often;131;0.0206274
historians;131;0.0206274
law;131;0.0206274
Smolensk;131;0.0206274
ready;131;0.0206274
contrary;130;0.02047
important;130;0.02047
field;130;0.02047
Only;129;0.0203125
met;129;0.0203125
killed;129;0.0203125
different;129;0.0203125
seeing;129;0.0203125
carriage;128;0.020155
middle;128;0.020155
leaving;128;0.020155
experienced;127;0.0199976
free;127;0.0199976
feel;127;0.0199976
merry;127;0.0199976
smoke;127;0.0199976
note;126;0.0198401
point;126;0.0198401
pale;126;0.0198401
matter;125;0.0196827
money;125;0.0196827
Part;125;0.0196827
answer;125;0.0196827
kissed;124;0.0195252
kind;124;0.0195252
Balashov;124;0.0195252
Now;123;0.0193677
covered;123;0.0193677
Dmitrievna;122;0.0192103
dark;122;0.0192103
nor;122;0.0192103
hear;122;0.0192103
despite;122;0.0192103
either;122;0.0192103
Excellency;121;0.0190528
sounds;121;0.0190528
des;121;0.0190528
opinion;121;0.0190528
guests;121;0.0190528
keep;121;0.0190528
believe;120;0.0188953
retreat;120;0.0188953
generals;120;0.0188953
body;120;0.0188953
German;120;0.0188953
en;119;0.0187379
silently;119;0.0187379
angry;119;0.0187379
beginning;119;0.0187379
across;118;0.0185804
best;118;0.0185804
attack;118;0.0185804
rest;118;0.0185804
duty;118;0.0185804
sound;117;0.018423
steps;117;0.018423
pour;117;0.018423
Countess;117;0.018423
bed;117;0.018423
air;117;0.018423
ma;116;0.0182655
business;116;0.0182655
Austrian;116;0.0182655
listening;116;0.0182655
Bonaparte;116;0.0182655
pleasure;116;0.0182655
hard;115;0.018108
remembered;115;0.018108
story;115;0.018108
meeting;114;0.0179506
open;114;0.0179506
legs;114;0.0179506
Bezukhov;114;0.0179506
Then;113;0.0177931
true;113;0.0177931
course;113;0.0177931
carried;113;0.0177931
presence;113;0.0177931
large;113;0.0177931
prisoners;112;0.0176357
least;112;0.0176357
speaking;112;0.0176357
number;112;0.0176357
fine;112;0.0176357
struck;112;0.0176357
ball;111;0.0174782
uncle;111;0.0174782
joy;111;0.0174782
further;111;0.0174782
lady;111;0.0174782
Two;111;0.0174782
near;111;0.0174782
stop;111;0.0174782
constantly;110;0.0173207
qui;110;0.0173207
Frenchman;110;0.0173207
act;110;0.0173207
involuntarily;109;0.0171633
expressed;109;0.0171633
unable;109;0.0171633
cannon;109;0.0171633
necessity;109;0.0171633
full;109;0.0171633
self;109;0.0171633
remember;108;0.0170058
tone;108;0.0170058
sister;108;0.0170058
une;108;0.0170058
calm;108;0.0170058
until;108;0.0170058
means;108;0.0170058
turn;108;0.0170058
special;107;0.0168484
Here;107;0.0168484
goal;107;0.0168484
questions;107;0.0168484
yourself;107;0.0168484
qu;106;0.0166909
various;106;0.0166909
considered;106;0.0166909
joyful;106;0.0166909
telling;106;0.0166909
needed;106;0.0166909
figure;106;0.0166909
completely;105;0.0165334
Not;105;0.0165334
straight;105;0.0165334
With;105;0.0165334
making;105;0.0165334
spent;105;0.0165334
liked;104;0.016376
lips;104;0.016376
Berg;104;0.016376
victory;104;0.016376
giving;104;0.016376
dead;104;0.016376
regimental;104;0.016376
honor;104;0.016376
four;104;0.016376
precisely;104;0.016376
present;103;0.0162185
show;103;0.0162185
